05-09-2024 	 01:57:22 	 6110a953-e9e6-445f-a1aa-2d5896af5e30 	 GET	undefined	/ 
05-09-2024 	 03:40:49 	 1442fccf-4755-44c2-ab4e-4c31a7a89476 	 GET	undefined	/states 
05-09-2024 	 03:41:33 	 7938c9c8-81e7-4bc9-9379-14083514a84b 	 GET	undefined	/states 
05-09-2024 	 03:41:53 	 422d5a2e-4716-4935-bc33-9e1d27a24e59 	 GET	undefined	/states 
05-09-2024 	 03:43:28 	 b88d61b6-abe5-40aa-8dc3-4c3f8d27230d 	 GET	undefined	/states 
05-09-2024 	 03:43:30 	 2945b536-3a39-4f9c-9072-2408d6a8b148 	 GET	undefined	/states 
05-09-2024 	 03:43:51 	 860f6c7a-caf2-43a8-ad91-3e7fa2943c8a 	 GET	undefined	/states 
05-09-2024 	 03:43:54 	 3def340b-47a8-40f6-a1e5-f9581b21cefc 	 GET	undefined	/ 
05-09-2024 	 03:43:54 	 0a9c7d29-0ed5-41bf-9603-2d9bbfbc656e 	 GET	undefined	/css/style.css 
05-09-2024 	 03:43:57 	 43b894cd-67c0-44be-ab5c-eef10ca19d20 	 GET	undefined	/states 
05-09-2024 	 03:44:00 	 2545da51-4330-4441-82ad-aac7368b49bc 	 GET	undefined	/states/TX 
05-09-2024 	 03:44:57 	 e1f2a52b-b632-4a50-b869-0f835045f42d 	 GET	undefined	/states 
05-09-2024 	 03:45:05 	 997fa8d8-248c-4b99-b898-37af36b7bcc5 	 GET	undefined	/states 
05-09-2024 	 03:46:17 	 ba61d09f-646e-4ba8-9fc6-ab59bf41f645 	 GET	undefined	/states 
05-09-2024 	 03:46:18 	 073b689b-d6d2-4a0d-8e28-4967d4a69029 	 GET	undefined	/states 
05-09-2024 	 03:46:25 	 a88547cd-ab4a-42be-b72d-eaaecdd8f41c 	 GET	undefined	/states 
05-09-2024 	 03:46:40 	 639e9b6f-5172-404a-aa49-310cbba9e11c 	 GET	undefined	/states 
05-09-2024 	 03:47:51 	 e17c000d-3d5c-488f-bfa8-c35e26c09104 	 GET	undefined	/states 
05-09-2024 	 03:51:52 	 1292767c-1bc4-4a8a-b71f-ca1230df0ab9 	 GET	undefined	/states 
05-09-2024 	 03:52:04 	 3c38064d-e8ab-4988-b0dc-b7d5ad5cbb8e 	 GET	undefined	/states 
05-09-2024 	 03:52:14 	 014e606f-93b6-493b-baca-294153f4328c 	 GET	undefined	/states 
05-09-2024 	 03:52:21 	 edb15315-c191-440b-9fa0-41480eb4fd02 	 GET	undefined	/ 
05-09-2024 	 03:52:21 	 9b80e33b-15ca-45a4-bef0-5841a1777908 	 GET	undefined	/css/style.css 
05-09-2024 	 03:52:24 	 90ce226b-95d7-4e74-ab91-b07593e25889 	 GET	undefined	/states 
05-09-2024 	 04:00:59 	 4de992e7-db40-4806-8cb4-33b60bbe4e61 	 GET	undefined	/states 
05-09-2024 	 04:01:00 	 3782cbec-dd79-4025-a91b-0a263224b04a 	 GET	undefined	/states 
05-09-2024 	 04:03:43 	 351d8dff-906d-4c1d-ae55-04115bdad5aa 	 GET	undefined	/ 
05-09-2024 	 04:03:43 	 b6cf50c6-33ff-4bcf-9360-23d28af90dae 	 GET	undefined	/css/style.css 
05-09-2024 	 04:03:46 	 ee22dad0-40ea-4cfc-a0ab-c89d358c3abc 	 GET	undefined	/states 
05-09-2024 	 04:05:53 	 3c5c66f3-45a4-46a3-a0fa-989d20dea141 	 GET	undefined	/states 
05-09-2024 	 04:14:23 	 32a0f322-938d-4c98-b228-5944413b1711 	 GET	undefined	/states 
05-09-2024 	 04:19:48 	 5707a625-0f44-4019-8049-41be074c0632 	 GET	undefined	/states/CA 
